,step_pred_1,step_pred_2,step_pred_3,step_pred_4,step_pred_5,step_pred_6,step_pred_7,step_pred_8,step_pred_9,step_pred_10,step_pred_11,step_pred_12,step_pred_13,step_pred_14,step_pred_15,step_pred_16,step_pred_17,step_pred_18,step_pred_19,step_pred_20,step_pred_21,step_pred_22,step_pred_23,step_pred_24,step_pred_25,step_pred_26,step_pred_27,step_pred_28,step_pred_29,step_pred_30,step_pred_31,step_pred_32,step_pred_33,step_pred_34,step_pred_35,step_pred_36
fat_baseline_rf,0.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.05333333333333334,0.08,0.05333333333333334,0.02666666666666667,0.0,0.006666666666666667,0.013333333333333334,0.02,0.03,0.04,0.05,0.049999999999999996,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.049999999999999996,0.05,0.075,0.10000000000000002,0.12500000000000003,0.15,0.17500000000000002,0.2,0.20833333333333334,0.21666666666666667,0.225,0.2333333333333333,0.24166666666666667,0.25
fat_conflicthistory_srf,0.0,0.0,0.0,0.0,0.025,0.05,0.03333333333333333,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.013333333333333334,0.02,0.016666666666666666,0.013333333333333334,0.01,0.006666666666666667,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fat_conflicthistory_gbm,0.25,0.25,0.2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
fat_conflicthistory_hurdle_lgb,0.18,0.25,0.005,0.01,0.085,0.16,0.19000000000000003,0.22,0.25,0.22666666666666666,0.20333333333333334,0.18,0.20333333333333334,0.22666666666666666,0.25,0.25,0.25,0.25,0.2383333333333333,0.22666666666666666,0.215,0.20333333333333334,0.19166666666666665,0.18,0.15333333333333332,0.12666666666666668,0.10000000000000002,0.07333333333333333,0.04666666666666667,0.02,0.016666666666666666,0.013333333333333334,0.01,0.006666666666666667,0.0033333333333333335,0.0
fat_conflicthistory_long_xgb,0.0,0.0,0.0,0.0,0.005,0.01,0.016666666666666666,0.02333333333333333,0.03,0.02333333333333333,0.016666666666666666,0.01,0.02666666666666667,0.043333333333333335,0.06,0.041666666666666664,0.02333333333333333,0.005,0.004166666666666667,0.0033333333333333335,0.0025,0.0016666666666666668,0.0008333333333333334,0.0,0.013333333333333334,0.02666666666666667,0.04,0.05333333333333334,0.06666666666666667,0.08,0.07833333333333334,0.07666666666666667,0.075,0.07333333333333335,0.07166666666666667,0.07
fat_vdem_hurdle_xgb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fat_wdi_rf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fat_topics_rf,0.0,0.002,0.002,0.02,0.01,0.0,0.0,0.0,0.0,0.0016666666666666668,0.0033333333333333335,0.005,0.07,0.135,0.2,0.19333333333333336,0.18666666666666668,0.18,0.19166666666666665,0.20333333333333334,0.215,0.22666666666666666,0.2383333333333333,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
fat_topics_histgbm,0.18,0.0,0.25,0.12,0.15,0.18,0.12,0.06,0.0,0.06666666666666667,0.13333333333333333,0.2,0.14,0.08,0.02,0.013333333333333334,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fat_broad_xgb,0.2,0.25,0.18,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
